state_clean,dv_total_cases,share_pct,cumulative_pct,rank,abc_class,abc_label
West Bengal,302143,15.82,15.82,1,A,A - Critical (top 70% of volume)
Rajasthan,232198,12.16,27.98,2,A,A - Critical (top 70% of volume)
Uttar Pradesh,194704,10.19,38.17,3,A,A - Critical (top 70% of volume)
Andhra Pradesh,188511,9.87,48.04,4,A,A - Critical (top 70% of volume)
Maharashtra,150156,7.86,55.9,5,A,A - Critical (top 70% of volume)
Assam,135415,7.09,62.99,6,A,A - Critical (top 70% of volume)
Gujarat,96480,5.05,68.04,7,A,A - Critical (top 70% of volume)
Madhya Pradesh,92166,4.83,72.87,8,A,A - Critical (top 70% of volume)
Kerala,78512,4.11,76.98,9,B,B - Moderate (next 20%)
Haryana,63266,3.31,80.29,10,B,B - Moderate (next 20%)
Telangana,60486,3.17,83.46,11,B,B - Moderate (next 20%)
Bihar,55187,2.89,86.35,12,B,B - Moderate (next 20%)
Karnataka,52889,2.77,89.12,13,B,B - Moderate (next 20%)
Odisha,46785,2.45,91.57,14,B,B - Moderate (next 20%)
Delhi UT,34395,1.8,93.37,15,C,C - Low (tail 10%)
Tamil Nadu,30036,1.57,94.94,16,C,C - Low (tail 10%)
Punjab,25820,1.35,96.29,17,C,C - Low (tail 10%)
Jharkhand,19855,1.04,97.33,18,C,C - Low (tail 10%)
Chhattisgarh,16381,0.86,98.19,19,C,C - Low (tail 10%)
Tripura,10787,0.56,98.75,20,C,C - Low (tail 10%)
Uttarakhand,8524,0.45,99.2,21,C,C - Low (tail 10%)
Himachal Pradesh,5420,0.28,99.48,22,C,C - Low (tail 10%)
Jammu & Kashmir,5336,0.28,99.76,23,C,C - Low (tail 10%)
Chandigarh,1870,0.1,99.86,24,C,C - Low (tail 10%)
Arunachal Pradesh,705,0.04,99.9,25,C,C - Low (tail 10%)
Manipur,430,0.02,99.92,26,C,C - Low (tail 10%)
Meghalaya,399,0.02,99.94,27,C,C - Low (tail 10%)
Goa,356,0.02,99.96,28,C,C - Low (tail 10%)
A & N Islands,180,0.01,99.97,29,C,C - Low (tail 10%)
Puducherry,178,0.01,99.98,30,C,C - Low (tail 10%)
Mizoram,144,0.01,99.99,31,C,C - Low (tail 10%)
D & N Haveli and Daman & Diu,133,0.01,100.0,32,C,C - Low (tail 10%)
Sikkim,69,0.0,100.0,33,C,C - Low (tail 10%)
Nagaland,33,0.0,100.0,34,C,C - Low (tail 10%)
Lakshadweep,17,0.0,100.0,35,C,C - Low (tail 10%)
Ladakh,12,0.0,100.0,36,C,C - Low (tail 10%)
