year,Assault on Women,Domestic Violence,Dowry Deaths,Insult to Modesty,Kidnapping & Abduction,Rape,Women Trafficking
2001,33622.0,49032.0,6738.0,9656.0,13681.0,15694.0,114.0
2002,33497.0,49102.0,6687.0,10027.0,13613.0,15970.0,76.0
2003,32450.0,49492.0,6078.0,12220.0,12499.0,15357.0,46.0
2004,33966.0,56867.0,6900.0,9871.0,14697.0,17682.0,89.0
2005,33413.0,56995.0,6673.0,9759.0,14644.0,17701.0,148.0
2006,35899.0,61400.0,7481.0,9822.0,16348.0,18725.0,67.0
2007,37866.0,74143.0,7955.0,10783.0,19249.0,20139.0,61.0
2008,39802.0,79957.0,8043.0,12084.0,21803.0,21001.0,67.0
2009,38159.0,88263.0,8242.0,10891.0,24086.0,20928.0,48.0
2010,40012.0,92637.0,8248.0,9881.0,28055.0,21665.0,36.0
2011,,99135.0,8618.0,8570.0,35565.0,24206.0,2435.0
2012,45344.0,106527.0,8233.0,9173.0,38262.0,24923.0,2563.0
2013,70739.0,118866.0,8083.0,12589.0,51881.0,33707.0,2579.0
2014,82235.0,122877.0,10050.0,21938.0,57311.0,36735.0,2070.0
2015,82422.0,113403.0,7634.0,24041.0,59277.0,34651.0,2424.0
2016,84746.0,110378.0,7621.0,27344.0,64519.0,38947.0,2214.0
2017,86001.0,104551.0,7466.0,7451.0,66333.0,32559.0,1536.0
2018,89097.0,103272.0,7166.0,6992.0,72751.0,33356.0,1459.0
2019,88367.0,125298.0,7115.0,6939.0,72780.0,32033.0,1185.0
2020,85392.0,111549.0,6966.0,7065.0,62300.0,28046.0,868.0
2021,89200.0,136234.0,6753.0,7788.0,75369.0,31677.0,1071.0
