state_clean,Year,DV,AoW,K&A,Rape,AoM,DD,WT,state_original_label,is_repaired
A & N Islands,2001,9,19,2,3,1,0,0,A & N Islands,False
A & N Islands,2002,4,17,1,2,3,0,0,A & N Islands,False
A & N Islands,2003,7,9,2,2,2,0,0,A & N Islands,False
A & N Islands,2004,5,6,3,10,3,0,0,A & N Islands,False
A & N Islands,2005,5,11,1,4,1,0,0,A & N Islands,False
A & N Islands,2006,7,14,5,6,4,0,0,A & N Islands,False
A & N Islands,2007,18,21,9,3,2,1,0,A & N Islands,False
A & N Islands,2008,26,24,13,12,3,2,0,A & N Islands,False
A & N Islands,2009,21,30,14,18,7,1,0,A & N Islands,False
A & N Islands,2010,9,31,8,24,10,0,0,A & N Islands,False
A & N Islands,2011,5,0,12,13,3,0,3,A & N Islands,False
A & N Islands,2012,5,10,7,12,4,2,2,A & N Islands,False
A & N Islands,2013,9,45,12,27,8,1,4,A & N Islands,False
A & N Islands,2014,14,41,17,32,18,0,1,A & N Islands,False
A & N Islands,2015,14,57,21,36,23,0,0,A & N Islands,False
A & N Islands,2016,7,46,21,30,15,0,0,A & N Islands,False
A & N Islands,2017,4,38,3,13,11,1,0,A & N Islands,False
A & N Islands,2018,4,35,2,30,4,0,0,A & N Islands,False
A & N Islands,2019,1,25,0,13,3,0,0,A & N Islands,False
A & N Islands,2020,2,15,1,2,3,0,0,West Bengal,True
A & N Islands,2021,4,32,0,15,4,1,0,West Bengal,True
Andhra Pradesh,2001,5791,3544,765,871,2271,420,7,Andhra Pradesh,False
Andhra Pradesh,2002,7018,3799,854,1002,2024,449,0,Andhra Pradesh,False
Andhra Pradesh,2003,8167,4128,931,946,2286,466,5,Andhra Pradesh,False
Andhra Pradesh,2004,8388,3817,1030,1016,2310,512,2,Andhra Pradesh,False
Andhra Pradesh,2005,8696,3595,995,935,2508,443,3,Andhra Pradesh,False
Andhra Pradesh,2006,9164,4534,1329,1049,2411,519,0,Andhra Pradesh,False
Andhra Pradesh,2007,11335,4406,1564,1070,3316,613,0,Andhra Pradesh,False
Andhra Pradesh,2008,10306,4730,1396,1257,3551,556,0,Andhra Pradesh,False
Andhra Pradesh,2009,11297,5147,1526,1188,3520,546,0,Andhra Pradesh,False
Andhra Pradesh,2010,12080,4634,1531,1362,4562,588,0,Andhra Pradesh,False
Andhra Pradesh,2011,13376,0,1612,1442,3658,599,497,Andhra Pradesh,False
Andhra Pradesh,2012,13389,4816,1403,1341,3714,504,472,Andhra Pradesh,False
Andhra Pradesh,2013,15084,6930,1595,1635,4702,492,489,Andhra Pradesh,False
Andhra Pradesh,2014,6362,4547,721,961,1072,468,204,Andhra Pradesh,False
Andhra Pradesh,2015,6121,4616,684,1027,1070,174,204,Andhra Pradesh,False
Andhra Pradesh,2016,6461,4829,626,994,1305,193,186,Andhra Pradesh,False
Andhra Pradesh,2017,7156,5129,712,988,1998,152,121,Andhra Pradesh,False
Andhra Pradesh,2018,6831,4445,697,971,1802,140,152,Andhra Pradesh,False
Andhra Pradesh,2019,7851,4444,589,1086,1892,112,88,Andhra Pradesh,False
Andhra Pradesh,2020,6546,4886,534,1095,2342,111,48,Andhra Pradesh,True
Andhra Pradesh,2021,7092,5108,613,1188,2370,108,70,Andhra Pradesh,True
Arunachal Pradesh,2001,11,78,55,33,3,0,0,Arunachal Pradesh,False
Arunachal Pradesh,2002,13,68,38,38,2,0,0,Arunachal Pradesh,False
Arunachal Pradesh,2003,14,43,51,31,0,0,0,Arunachal Pradesh,False
Arunachal Pradesh,2004,4,61,41,42,0,0,0,Arunachal Pradesh,False
Arunachal Pradesh,2005,9,67,39,35,0,0,0,Arunachal Pradesh,False
Arunachal Pradesh,2006,14,63,51,37,2,1,0,Arunachal Pradesh,False
Arunachal Pradesh,2007,20,72,44,48,1,0,0,Arunachal Pradesh,False
Arunachal Pradesh,2008,13,72,47,42,1,0,0,Arunachal Pradesh,False
Arunachal Pradesh,2009,13,58,28,59,6,0,0,Arunachal Pradesh,False
Arunachal Pradesh,2010,12,84,46,47,1,0,0,Arunachal Pradesh,False
Arunachal Pradesh,2011,18,0,60,42,0,0,0,Arunachal Pradesh,False
Arunachal Pradesh,2012,26,67,58,46,2,1,1,Arunachal Pradesh,False
Arunachal Pradesh,2013,29,93,86,75,3,0,2,Arunachal Pradesh,False
Arunachal Pradesh,2014,42,121,91,83,21,0,0,Arunachal Pradesh,False
Arunachal Pradesh,2015,66,101,128,71,15,0,2,Arunachal Pradesh,False
Arunachal Pradesh,2016,50,109,85,92,4,1,0,Arunachal Pradesh,False
Arunachal Pradesh,2017,56,97,74,59,5,0,2,Arunachal Pradesh,False
Arunachal Pradesh,2018,60,103,87,67,12,0,0,Arunachal Pradesh,False
Arunachal Pradesh,2019,54,80,68,63,6,1,0,Arunachal Pradesh,False
Arunachal Pradesh,2020,69,73,45,60,3,0,0,Arunachal Pradesh,True
Arunachal Pradesh,2021,112,74,50,83,10,0,0,Arunachal Pradesh,True
Assam,2001,1248,850,1070,817,4,59,0,Assam,False
Assam,2002,1694,984,1276,970,7,70,0,Assam,False
Assam,2003,1808,878,1351,1095,6,60,0,Assam,False
Assam,2004,1945,883,1552,1171,11,74,0,Assam,False
Assam,2005,2206,899,1456,1238,19,99,3,Assam,False
Assam,2006,2548,1290,1544,1244,10,105,0,Assam,False
Assam,2007,3000,789,1471,1437,10,100,0,Assam,False
Assam,2008,3478,1272,1789,1438,2,103,0,Assam,False
Assam,2009,4398,1342,2092,1631,10,170,1,Assam,False
Assam,2010,5410,1400,2767,1721,20,175,0,Assam,False
Assam,2011,5246,0,3192,1700,8,121,21,Assam,False
Assam,2012,6407,1840,3360,1716,5,140,30,Assam,False
Assam,2013,8636,2409,4222,1937,14,170,18,Assam,False
Assam,2014,9626,3099,3895,1980,458,92,29,Assam,False
Assam,2015,11225,4293,5039,1733,499,216,47,Assam,False
Assam,2016,9321,3378,5339,1779,677,157,65,Assam,False
Assam,2017,9782,3569,5554,1772,108,171,40,Assam,False
Assam,2018,11136,4180,6401,1648,171,173,37,Assam,False
Assam,2019,11943,4619,6989,1773,385,156,12,Assam,False
Assam,2020,11408,4642,5364,1657,90,148,18,Assam,True
Assam,2021,12950,4499,5739,1733,184,198,22,Assam,True
Bihar,2001,1558,562,518,888,21,859,83,Bihar,False
Bihar,2002,1577,621,744,1040,6,927,38,Bihar,False
Bihar,2003,1880,688,674,985,11,909,37,Bihar,False
Bihar,2004,2679,704,997,1390,13,1029,35,Bihar,False
Bihar,2005,1574,451,929,1147,13,1014,74,Bihar,False
Bihar,2006,1689,530,1084,1232,53,1188,42,Bihar,False
Bihar,2007,1635,853,1260,1555,12,1172,56,Bihar,False
Bihar,2008,1992,999,1789,1302,21,1210,22,Bihar,False
Bihar,2009,2532,726,1986,929,12,1295,31,Bihar,False
Bihar,2010,2271,534,2569,795,16,1257,8,Bihar,False
Bihar,2011,2607,0,3050,934,11,1413,23,Bihar,False
Bihar,2012,3686,118,3789,927,37,1275,35,Bihar,False
Bihar,2013,4533,331,4419,1128,52,1182,64,Bihar,False
Bihar,2014,4672,572,4735,1127,271,2203,31,Bihar,False
Bihar,2015,3792,198,5158,1041,78,1154,21,Bihar,False
Bihar,2016,3794,324,5496,1008,124,987,50,Bihar,False
Bihar,2017,3776,197,6182,605,1,1081,24,Bihar,False
Bihar,2018,2539,262,7951,651,30,1107,49,Bihar,False
Bihar,2019,2397,312,9025,730,11,1120,40,Bihar,False
Bihar,2020,1935,584,6671,806,6,1046,30,Bihar,True
Bihar,2021,2069,387,8661,786,1,1000,32,Bihar,True
Chandigarh,2001,36,24,50,18,15,3,0,Chandigarh,False
Chandigarh,2002,56,36,47,18,28,1,0,Chandigarh,False
