state_clean,state_code,entity_type,region,population_2011,sex_ratio_2011,literacy_rate_2011,notes,female_population_2011,dv_total_cases,dv_cases_2021,dv_cases_2001,all_crime_total,dv_share_of_state_crime_pct,dv_rate_2021,dv_rate_20yr_avg,years_observed,first_year_observed,dv_cagr_pct,trend_direction,risk_zone,share_pct,cumulative_pct,rank,abc_class,abc_label
Andhra Pradesh,AP,State,South,49386799,993,67.02,Residual AP after the 2014 bifurcation (13 districts),24606669,188511,7092,5791,391123,48.2,28.82,36.48,21,2001,1.02,Stable,Critical,9.87,48.04,4,A,A - Critical (top 70% of volume)
Arunachal Pradesh,AR,State,North East,1383727,938,65.38,,669730,705,112,11,4822,14.62,16.72,5.01,21,2001,12.3,Worsening,High,0.04,99.9,25,C,C - Low (tail 10%)
Assam,AS,State,North East,31205576,958,72.19,,15268101,135415,12950,1248,291980,46.38,84.82,42.23,21,2001,12.41,Worsening,Critical,7.09,62.99,6,A,A - Critical (top 70% of volume)
Bihar,BR,State,East,104099452,918,61.8,,49824451,55187,2069,1558,189886,29.06,4.15,5.27,21,2001,1.43,Stable,Moderate,2.89,86.35,12,B,B - Moderate (next 20%)
Chhattisgarh,CG,State,Central,25545198,991,70.28,,12714862,16381,963,840,97687,16.77,7.57,6.14,21,2001,0.69,Stable,Moderate,0.86,98.19,19,C,C - Low (tail 10%)
Goa,GA,State,West,1458545,973,88.7,,719293,356,1,11,4179,8.52,0.14,2.36,21,2001,-11.3,Improving,Low,0.02,99.96,28,C,C - Low (tail 10%)
Gujarat,GJ,State,West,60439692,919,78.03,,28944282,96480,2271,3667,154339,62.51,7.85,15.87,21,2001,-2.37,Improving,Moderate,5.05,68.04,7,A,A - Critical (top 70% of volume)
Haryana,HR,State,North,25351462,879,75.55,,11859465,63266,5755,1513,152479,41.49,48.53,25.4,21,2001,6.91,Worsening,Critical,3.31,80.29,10,B,B - Moderate (next 20%)
Himachal Pradesh,HP,State,North,6864602,972,82.8,,3383567,5420,221,317,22957,23.61,6.53,7.63,21,2001,-1.79,Stable,Moderate,0.28,99.48,22,C,C - Low (tail 10%)
Jammu & Kashmir,JK,Union Territory,North,12267013,892,67.16,State until Oct-2019 then UT. Population excludes the Ladakh districts; pre-2020 case counts include them (~2% of the entity),5783391,5336,501,50,56972,9.37,8.66,4.39,21,2001,12.21,Worsening,Moderate,0.28,99.76,23,C,C - Low (tail 10%)
