year,decade,source_export,label_alignment,is_covid_year,reporting_entities,all_crimes_comparable,coverage_note
2001,2001-2010,Export A (ALL CAPS labels),As published,False,33,True,Complete across all 7 crime heads
2002,2001-2010,Export A (ALL CAPS labels),As published,False,33,True,Complete across all 7 crime heads
2003,2001-2010,Export A (ALL CAPS labels),As published,False,33,True,Complete across all 7 crime heads
2004,2001-2010,Export A (ALL CAPS labels),As published,False,33,True,Complete across all 7 crime heads
2005,2001-2010,Export A (ALL CAPS labels),As published,False,33,True,Complete across all 7 crime heads
2006,2001-2010,Export A (ALL CAPS labels),As published,False,33,True,Complete across all 7 crime heads
2007,2001-2010,Export A (ALL CAPS labels),As published,False,33,True,Complete across all 7 crime heads
2008,2001-2010,Export A (ALL CAPS labels),As published,False,33,True,Complete across all 7 crime heads
2009,2001-2010,Export A (ALL CAPS labels),As published,False,33,True,Complete across all 7 crime heads
2010,2001-2010,Export A (ALL CAPS labels),As published,False,33,True,Complete across all 7 crime heads
2011,2011-2021,Export B (Title Case labels),As published,False,35,False,Assault on Women missing from the source; all-crime total understated
2012,2011-2021,Export B (Title Case labels),As published,False,35,True,Complete across all 7 crime heads
2013,2011-2021,Export B (Title Case labels),As published,False,35,True,Complete across all 7 crime heads
2014,2011-2021,Export B (Title Case labels),As published,False,35,True,Complete across all 7 crime heads
2015,2011-2021,Export B (Title Case labels),As published,False,35,True,Complete across all 7 crime heads
2016,2011-2021,Export B (Title Case labels),As published,False,35,True,Complete across all 7 crime heads
2017,2011-2021,Export B (Title Case labels),As published,False,35,True,Complete across all 7 crime heads
2018,2011-2021,Export B (Title Case labels),As published,False,35,True,Complete across all 7 crime heads
2019,2011-2021,Export B (Title Case labels),As published,False,35,True,Complete across all 7 crime heads
2020,2011-2021,Export B (Title Case labels),Repaired (NCRB 2020 entity order),True,36,True,Complete across all 7 crime heads
2021,2011-2021,Export B (Title Case labels),Repaired (NCRB 2020 entity order),True,36,True,Complete across all 7 crime heads
