state_clean,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
West Bengal,3859.0,4069.0,4948.0,6334.0,6936.0,7414.0,9900.0,13663.0,16112.0,17796.0,19772.0,19865.0,18116.0,23278.0,20163.0,19302.0,16800.0,16951.0,16951.0,19962.0,19952.0
Rajasthan,5532.0,5691.0,5733.0,6781.0,5997.0,7038.0,8170.0,8113.0,10371.0,11145.0,12218.0,13312.0,15094.0,15905.0,14383.0,13811.0,11508.0,12250.0,18432.0,13765.0,16949.0
Uttar Pradesh,7365.0,5679.0,2626.0,4950.0,4505.0,5204.0,7650.0,8312.0,8566.0,7978.0,7121.0,7661.0,8781.0,10471.0,8660.0,11156.0,12653.0,14233.0,18304.0,14454.0,18375.0
Andhra Pradesh,5791.0,7018.0,8167.0,8388.0,8696.0,9164.0,11335.0,10306.0,11297.0,12080.0,13376.0,13389.0,15084.0,6362.0,6121.0,6461.0,7156.0,6831.0,7851.0,6546.0,7092.0
Maharashtra,6090.0,5353.0,5452.0,5646.0,6233.0,6738.0,7356.0,7829.0,7681.0,7434.0,7136.0,7415.0,8542.0,7696.0,7640.0,7215.0,6584.0,6862.0,8430.0,6729.0,10095.0
Assam,1248.0,1694.0,1808.0,1945.0,2206.0,2548.0,3000.0,3478.0,4398.0,5410.0,5246.0,6407.0,8636.0,9626.0,11225.0,9321.0,9782.0,11136.0,11943.0,11408.0,12950.0
Gujarat,3667.0,3321.0,3684.0,3955.0,4090.0,4977.0,5827.0,6094.0,5506.0,5600.0,6052.0,6658.0,7812.0,5991.0,4133.0,3732.0,3223.0,2923.0,3619.0,3345.0,2271.0
Madhya Pradesh,2562.0,3117.0,2938.0,3436.0,2989.0,2989.0,3294.0,3185.0,3983.0,3756.0,3732.0,3988.0,4988.0,6451.0,5281.0,6264.0,6099.0,4159.0,5486.0,5540.0,7929.0
Kerala,2561.0,2836.0,2930.0,3222.0,3283.0,3708.0,3999.0,4138.0,4007.0,4797.0,5377.0,5216.0,4820.0,4919.0,3668.0,3455.0,2856.0,2046.0,2970.0,2707.0,4997.0
Haryana,1513.0,1565.0,1618.0,2026.0,2075.0,2254.0,2412.0,2435.0,2617.0,2720.0,2740.0,3137.0,3617.0,3478.0,3525.0,3313.0,3326.0,4154.0,4867.0,4119.0,5755.0
Telangana,,,,,,,,,,,0.0,0.0,0.0,6369.0,7329.0,7202.0,7838.0,6286.0,8541.0,7453.0,9468.0
Bihar,1558.0,1577.0,1880.0,2679.0,1574.0,1689.0,1635.0,1992.0,2532.0,2271.0,2607.0,3686.0,4533.0,4672.0,3792.0,3794.0,3776.0,2539.0,2397.0,1935.0,2069.0
Karnataka,1755.0,1826.0,1704.0,1588.0,1883.0,2129.0,2507.0,2638.0,3185.0,3441.0,3712.0,3684.0,3276.0,3025.0,2732.0,2556.0,2332.0,2053.0,2472.0,2055.0,2336.0
Odisha,1266.0,1167.0,1289.0,1192.0,1671.0,694.0,728.0,1618.0,2047.0,2067.0,2320.0,2638.0,2792.0,3114.0,3605.0,2781.0,2525.0,1984.0,2739.0,3659.0,4889.0
Delhi UT,,,,,,,,,,,1575.0,1985.0,3033.0,3173.0,3521.0,3877.0,2735.0,3416.0,3792.0,2557.0,4731.0
Tamil Nadu,815.0,1052.0,1555.0,1437.0,1650.0,1248.0,1976.0,1648.0,1460.0,1570.0,1812.0,1965.0,2471.0,2103.0,1900.0,1256.0,984.0,789.0,781.0,689.0,875.0
Punjab,1128.0,944.0,987.0,801.0,729.0,801.0,971.0,984.0,1061.0,1163.0,1136.0,1293.0,1741.0,1681.0,1583.0,1568.0,1199.0,1470.0,1595.0,1271.0,1714.0
Jharkhand,484.0,588.0,559.0,588.0,590.0,668.0,801.0,851.0,710.0,650.0,659.0,1261.0,2084.0,1462.0,1654.0,1002.0,998.0,1032.0,1426.0,857.0,931.0
Chhattisgarh,840.0,653.0,601.0,741.0,732.0,717.0,824.0,897.0,893.0,861.0,834.0,980.0,1181.0,964.0,620.0,622.0,582.0,503.0,732.0,641.0,963.0
