state_clean,state_code,entity_type,region,year,crime_code,crime_type,cases,rate_per_lakh_female,population_2011,female_population_2011,literacy_rate_2011,is_structural_zero,is_source_gap,data_quality_flag,include_in_analysis
A & N Islands,AN,Union Territory,Islands,2001,DV,Domestic Violence,9,5.06,380581,177713,86.63,False,False,ok,True
A & N Islands,AN,Union Territory,Islands,2002,DV,Domestic Violence,4,2.25,380581,177713,86.63,False,False,ok,True
A & N Islands,AN,Union Territory,Islands,2003,DV,Domestic Violence,7,3.94,380581,177713,86.63,False,False,ok,True
A & N Islands,AN,Union Territory,Islands,2004,DV,Domestic Violence,5,2.81,380581,177713,86.63,False,False,ok,True
A & N Islands,AN,Union Territory,Islands,2005,DV,Domestic Violence,5,2.81,380581,177713,86.63,False,False,ok,True
A & N Islands,AN,Union Territory,Islands,2006,DV,Domestic Violence,7,3.94,380581,177713,86.63,False,False,ok,True
A & N Islands,AN,Union Territory,Islands,2007,DV,Domestic Violence,18,10.13,380581,177713,86.63,False,False,ok,True
A & N Islands,AN,Union Territory,Islands,2008,DV,Domestic Violence,26,14.63,380581,177713,86.63,False,False,ok,True
A & N Islands,AN,Union Territory,Islands,2009,DV,Domestic Violence,21,11.82,380581,177713,86.63,False,False,ok,True
A & N Islands,AN,Union Territory,Islands,2010,DV,Domestic Violence,9,5.06,380581,177713,86.63,False,False,ok,True
A & N Islands,AN,Union Territory,Islands,2011,DV,Domestic Violence,5,2.81,380581,177713,86.63,False,False,ok,True
A & N Islands,AN,Union Territory,Islands,2012,DV,Domestic Violence,5,2.81,380581,177713,86.63,False,False,ok,True
A & N Islands,AN,Union Territory,Islands,2013,DV,Domestic Violence,9,5.06,380581,177713,86.63,False,False,ok,True
A & N Islands,AN,Union Territory,Islands,2014,DV,Domestic Violence,14,7.88,380581,177713,86.63,False,False,ok,True
A & N Islands,AN,Union Territory,Islands,2015,DV,Domestic Violence,14,7.88,380581,177713,86.63,False,False,ok,True
A & N Islands,AN,Union Territory,Islands,2016,DV,Domestic Violence,7,3.94,380581,177713,86.63,False,False,ok,True
A & N Islands,AN,Union Territory,Islands,2017,DV,Domestic Violence,4,2.25,380581,177713,86.63,False,False,ok,True
A & N Islands,AN,Union Territory,Islands,2018,DV,Domestic Violence,4,2.25,380581,177713,86.63,False,False,ok,True
A & N Islands,AN,Union Territory,Islands,2019,DV,Domestic Violence,1,0.56,380581,177713,86.63,False,False,ok,True
A & N Islands,AN,Union Territory,Islands,2020,DV,Domestic Violence,2,1.13,380581,177713,86.63,False,False,ok,True
A & N Islands,AN,Union Territory,Islands,2021,DV,Domestic Violence,4,2.25,380581,177713,86.63,False,False,ok,True
Andhra Pradesh,AP,State,South,2001,DV,Domestic Violence,5791,23.53,49386799,24606669,67.02,False,False,ok,True
Andhra Pradesh,AP,State,South,2002,DV,Domestic Violence,7018,28.52,49386799,24606669,67.02,False,False,ok,True
Andhra Pradesh,AP,State,South,2003,DV,Domestic Violence,8167,33.19,49386799,24606669,67.02,False,False,ok,True
Andhra Pradesh,AP,State,South,2004,DV,Domestic Violence,8388,34.09,49386799,24606669,67.02,False,False,ok,True
Andhra Pradesh,AP,State,South,2005,DV,Domestic Violence,8696,35.34,49386799,24606669,67.02,False,False,ok,True
Andhra Pradesh,AP,State,South,2006,DV,Domestic Violence,9164,37.24,49386799,24606669,67.02,False,False,ok,True
Andhra Pradesh,AP,State,South,2007,DV,Domestic Violence,11335,46.06,49386799,24606669,67.02,False,False,ok,True
