year,all_crimes,dv_cases,all_crimes_comparable,dv_share_pct,dv_yoy_pct,all_yoy_pct,dv_index_2001,dv_3yr_moving_avg,dv_rate_per_lakh_female
2001,128537.0,49032,True,38.15,,,100.0,,8.35
2002,128972.0,49102,True,38.07,0.14,0.34,100.1,,8.36
2003,128142.0,49492,True,38.62,0.79,-0.64,100.9,49209.0,8.42
2004,140072.0,56867,True,40.6,14.9,9.31,116.0,51820.0,9.68
2005,139333.0,56995,True,40.91,0.23,-0.53,116.2,54451.0,9.7
2006,149742.0,61400,True,41.0,7.73,7.47,125.2,58421.0,10.45
2007,170196.0,74143,True,43.56,20.75,13.66,151.2,64179.0,12.62
2008,182757.0,79957,True,43.75,7.84,7.38,163.1,71833.0,13.61
2009,190617.0,88263,True,46.3,10.39,4.3,180.0,80788.0,15.02
2010,200534.0,92637,True,46.2,4.96,5.2,188.9,86952.0,15.77
2011,,99135,False,,7.01,0.0,202.2,93345.0,16.87
2012,235025.0,106527,True,45.33,7.46,17.2,217.3,99433.0,18.13
2013,298444.0,118866,True,39.83,11.58,26.98,242.4,108176.0,20.23
2014,333216.0,122877,True,36.88,3.37,11.65,250.6,116090.0,20.92
2015,323852.0,113403,True,35.02,-7.71,-2.81,231.3,118382.0,19.3
2016,335769.0,110378,True,32.87,-2.67,3.68,225.1,115553.0,18.79
2017,305897.0,104551,True,34.18,-5.28,-8.9,213.2,109444.0,17.8
2018,314093.0,103272,True,32.88,-1.22,2.68,210.6,106067.0,17.58
2019,333717.0,125298,True,37.55,21.33,6.25,255.5,111040.0,21.33
2020,302186.0,111549,True,36.91,-10.97,-9.45,227.5,113373.0,18.99
2021,348092.0,136234,True,39.14,22.13,15.19,277.8,124360.0,23.19
